Category,Custom Name,ASIN,Country Code,Product Title,Product Review URL,Review Rating,Review Date,Reviewer URL,Reviewer Name,Reviewer ID,Review Title,Review Text,Verified Review,Variation ASIN,Deleted,Colour,Size name
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R52LCUMEC08CI,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHYJ65NKRVOOW4HYPAOYATHG4EDQ,Laksh,AHYJ65NKRVOOW4HYPAOYATHG4EDQ,Value for money,Overall awesome mobile better than redmi note 9 pro,Yes,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1QHAESF5L5S6E,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AG66WWOH6Z6PG4SXGHSBHOG3375Q,Satyam patkar,AG66WWOH6Z6PG4SXGHSBHOG3375Q,Ucjvi,Ffuff,Yes,B07X4PKGSN,Not Deleted,Halo White,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R29M8JW4TJZZ3G,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFYWYRXJ4ZLZ6NZLNHCMPSTROKIQ,MAHENDAR,AFYWYRXJ4ZLZ6NZLNHCMPSTROKIQ,Must buy product,Wonderful product in range of 15000. Pro camera.,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R14L70WSHOOWVJ,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFTFYUC4HQ6FFKIYSCWGXIQQ6VCQ,Raghunandan Dadhich,AFTFYUC4HQ6FFKIYSCWGXIQQ6VCQ,economically  and good,good quality,Yes,B07X2KLKRZ,Not Deleted,Shadow Black,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2K6RTFMYHH69Y,5,01-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGCENMJCJLKRU2ZEWTFNNAD6UCKA,Amazon Customer,AGCENMJCJLKRU2ZEWTFNNAD6UCKA,Very good,Batare laef,Yes,B07X4Q6QBR,Not Deleted,Gamma Green,8+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3S703OQYWG0N7,5,01-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGS46OMNVQHPFT3VN7HQ6ANEY2OQ,Aniket saha,AGS46OMNVQHPFT3VN7HQ6ANEY2OQ,4months using.,Everything is good and i am using about 4months awesome phone.,Yes,B07X4PXKZQ,Not Deleted,Gamma Green,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R18XGL8MHF7AKO,5,01-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGQS2IQP3S3S3VFNNRZF5REYMKAA,sunil,AGQS2IQP3S3S3VFNNRZF5REYMKAA,Nice,Super,Yes,B07X1KT6LW,Not Deleted,Halo White,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1P5OJ6DX59ZRU,5,01-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AENIFGATCAWZIOTOPZISZDAOJ7DA,S.K,AENIFGATCAWZIOTOPZISZDAOJ7DA,I recommend every one to buy it.,Good mobile . I recommend every one to purchase it.,Yes,B07X3NZZJ1,Not Deleted,Shadow Black,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RY2IL0KINB5K3,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AFZ2EEWEBTA5HBRDA3LNI7H2FXSQ,Kamlesh singh kuloura,AFZ2EEWEBTA5HBRDA3LNI7H2FXSQ,Must buy this product,Camera quality is too good,Yes,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2Q9NTWKUZRSZF,5,30-04-2020,https://www.amazon.in/gp/profile/amzn1.account.AGBWYDD5NP44WG5EHRQAE5UXC3UQ,chandan kandi,AGBWYDD5NP44WG5EHRQAE5UXC3UQ,Value for money,Overall good,Yes,B07X4PXKZQ,Not Deleted,Gamma Green,6+64GB
